company_id,industry_sector,revenue,cogs,gross_profit,operating_profit,net_profit,ebitda,interest_expense,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,liquid_assets,cash,inventory,accounts_payable,share_price,shares_outstanding,dividends_per_share,annualized_portfolio_return,benchmark_return,risk_free_rate,daily_return_stdev,downside_deviation,market_covariance,market_variance,correlation_to_benchmark,tracking_error,historical_peak_value,historical_trough_value,var_95_amount,total_gross_loan_amount,days_past_due,provision_for_credit_losses,net_profit_margin,roa,roe,cash_ratio,quick_ratio,current_ratio,inventory_turnover,asset_turnover,payable_turnover,debt_to_assets,debt_to_equity,interest_coverage,dscr,eps,pe_ratio,dividend_yield,volatility_annualized,alpha,beta,sharpe_ratio,treynor_ratio,max_drawdown,sortino_ratio,r_squared,npl_status,cost_of_risk,is_default,portfolio_weight
COMP_00011,Telecom,19772.72,8263.87,11508.85,7540.24,5097.66,8674.52,972.27,53341.47,29469.04,23872.43,17179.54,12557.46,13371.27,8636.89,2605.9,3099.17,48.5,323.6,0.0,-0.0971,0.0867,0.04,0.016037,0.1603,0.029344,0.038174,0.8402,0.0559,110.22,45.53,3.01,15741.9,0,175.5,0.2578,0.0956,0.2135,0.6878,1.0648,1.3681,3.1712,0.3707,2.6665,0.5525,1.2344,7.7553,3.4065,15.753,3.08,0.0,0.2546,-0.1838,0.7687,-0.5385,-0.1784,0.5869,-0.8553,0.7059,0,0.0111,0,0.00335844
COMP_00012,Materials,1430.52,548.34,882.18,453.09,348.66,528.69,154.23,4139.82,3392.37,747.45,2307.28,1074.25,1156.44,367.79,601.52,294.82,26.05,28.49,0.62,0.2765,0.0201,0.04,0.025688,0.3436,0.025375,0.026268,0.8057,0.0333,45.69,24.86,3.6,375.85,0,9.84,0.2437,0.0842,0.4665,0.3424,1.0765,2.1478,0.9116,0.3456,1.8599,0.8194,4.5386,2.9378,2.7562,12.238,2.13,0.0238,0.4078,0.2564,0.966,0.5799,0.2448,0.4559,0.6883,0.6492,0,0.0262,0,8.019e-05
COMP_00013,Consumer Staples,1125.0,942.79,182.21,-12.69,-8.2,26.09,41.65,2003.12,590.53,1412.59,1252.74,353.78,881.2,541.62,149.63,148.34,48.35,137.07,0.04,0.0964,0.0781,0.04,0.018666,0.3082,0.056908,0.043275,0.3683,0.056,91.27,84.08,3.51,742.94,239,167.18,-0.0073,-0.0041,-0.0058,1.531,2.4908,3.541,6.3008,0.5616,6.3556,0.2948,0.418,-0.3047,0.225,-0.0598,,0.0008,0.2963,0.0183,1.315,0.1903,0.0429,0.0788,0.183,0.1356,1,0.225,1,0.0001585
COMP_00014,Consumer Discretionary,3178.23,2633.15,545.08,220.51,157.11,555.2,89.12,5454.87,2525.18,2929.69,1919.89,961.91,989.57,168.72,124.71,242.22,40.63,65.01,0.25,-0.0537,0.1066,0.04,0.024816,0.2685,0.015533,0.011965,0.9272,0.0411,83.3,75.18,4.79,2085.56,0,100.17,0.0494,0.0288,0.0536,0.1754,1.0288,1.9959,21.1142,0.5826,10.8709,0.4629,0.8619,2.4743,1.8651,2.4167,16.81,0.0062,0.3939,-0.1603,1.2982,-0.2379,-0.0722,0.0975,-0.349,0.8597,0,0.048,0,0.00044494
COMP_00015,Materials,502.2,190.95,311.25,265.69,168.12,283.66,49.03,910.5,614.18,296.32,159.1,135.54,77.68,26.57,10.7,32.14,14.32,166.27,1.1,0.2823,0.1119,0.04,0.012947,0.1271,-0.00568,0.023821,0.2629,0.0427,33.58,31.01,1.81,55.63,12,1.33,0.3348,0.1846,0.5674,0.196,0.5731,1.1738,17.8458,0.5516,5.9412,0.6746,2.0727,5.4189,5.1959,1.0111,14.16,0.0768,0.2055,0.1704,-0.2384,1.1791,-1.0164,0.0765,1.9064,0.0691,0,0.0239,0,1.187e-05
COMP_00016,Materials,1099.07,628.26,470.81,404.22,266.45,524.97,49.32,2474.66,1193.84,1280.82,667.64,322.85,303.2,63.79,84.77,150.62,28.76,26.56,0.39,0.1913,0.0301,0.04,0.02781,0.4418,0.036501,0.037417,0.6295,0.0551,52.71,46.07,13.24,825.96,0,28.29,0.2424,0.1077,0.208,0.1976,0.9391,2.068,7.4113,0.4441,4.1712,0.4824,0.9321,8.1959,3.9796,10.032,2.87,0.0136,0.4415,0.1612,0.9755,0.3427,0.1551,0.126,0.3425,0.3963,0,0.0343,0,0.00017621
COMP_00017,Financials,1173.33,519.93,653.4,430.81,272.64,479.26,37.59,2940.34,870.45,2069.89,590.8,359.49,424.7,188.27,53.52,176.11,38.0,133.78,0.79,-0.1836,0.0521,0.04,0.004543,0.0623,0.05233,0.04884,0.3736,0.0461,50.41,40.04,14.42,288.77,0,9.77,0.2324,0.0927,0.1317,0.5237,1.1814,1.6434,9.7147,0.399,2.9523,0.296,0.4205,11.4608,7.2105,2.038,18.65,0.0208,0.0721,-0.2357,1.0715,-3.1012,-0.2087,0.2057,-3.5891,0.1396,0,0.0338,0,6.161e-05
COMP_00018,Industrials,593.14,351.54,241.6,131.19,110.85,152.47,20.5,1610.49,750.17,860.32,519.19,315.09,478.91,207.28,83.97,169.32,58.89,88.81,0.59,0.0771,0.1062,0.04,0.003065,0.0476,0.042688,0.051672,0.7319,0.0518,96.64,29.91,6.23,149.38,0,5.04,0.1869,0.0688,0.1288,0.6578,1.5199,1.6478,4.1865,0.3683,2.0762,0.4658,0.872,6.3995,4.3024,1.2482,47.18,0.01,0.0487,-0.0291,0.8261,0.7618,0.0449,0.6905,0.7794,0.5357,0,0.0337,0,3.187e-05
COMP_00019,Consumer Staples,4626.55,3539.72,1086.83,618.12,487.77,991.35,397.66,8344.74,6539.14,1805.6,3943.37,3882.01,1842.43,706.31,401.92,2198.38,103.28,23.49,1.91,0.2241,0.073,0.04,0.011929,0.1431,0.036852,0.055723,0.8344,0.0873,154.72,90.81,7.77,2462.53,0,71.6,0.1054,0.0585,0.2701,0.1819,0.4746,1.0158,8.807,0.5544,1.6101,0.7836,3.6216,1.5544,1.5396,20.765,4.97,0.0185,0.1894,0.1511,0.6613,0.972,0.2784,0.4131,1.2865,0.6962,0,0.0291,0,0.00052537
COMP_00020,Healthcare,843.55,696.19,147.36,-41.45,-34.3,22.0,41.05,1349.19,1186.24,162.95,552.43,521.93,373.59,294.3,84.68,196.77,138.6,531.41,0.29,-0.1182,0.0944,0.04,0.027962,0.4748,0.041748,0.028914,0.8346,0.0719,335.95,312.03,22.12,105.64,0,2.59,-0.0407,-0.0254,-0.2105,0.5639,0.7158,1.0584,8.2214,0.6252,3.5381,0.8792,7.2798,-1.0097,0.4262,-0.0645,,0.0021,0.4439,-0.2126,1.4439,-0.3564,-0.1096,0.0712,-0.3332,0.6966,0,0.0245,1,2.254e-05
COMP_00021,Materials,170.08,113.46,56.62,16.6,12.28,29.22,8.03,504.01,139.03,364.98,136.81,64.88,106.42,32.85,25.08,38.41,8.7,49.08,0.47,-0.0955,0.0749,0.04,0.022164,0.2805,0.024024,0.039365,0.4083,0.0278,10.02,3.73,10.21,104.28,81,1.35,0.0722,0.0244,0.0336,0.5063,1.6403,2.1087,4.5239,0.3375,2.9539,0.2758,0.3809,2.0672,1.5831,0.2502,34.77,0.054,0.3518,-0.1704,0.6103,-0.3852,-0.222,0.6277,-0.4831,0.1667,0,0.0129,0,2.225e-05
COMP_00022,Industrials,763.72,402.44,361.28,273.62,171.7,336.02,20.71,1000.59,620.4,380.19,533.94,177.12,359.19,238.57,145.64,38.11,28.48,130.04,0.0,0.0422,0.034,0.04,0.010199,0.1554,0.035871,0.039294,0.5187,0.0177,48.36,37.45,2.11,184.63,0,5.7,0.2248,0.1716,0.4516,1.3469,2.0279,3.0146,2.7633,0.7633,10.56,0.62,1.6318,13.212,8.5778,1.3204,21.57,0.0,0.1619,0.0082,0.9129,0.0136,0.0024,0.2256,0.0142,0.269,0,0.0309,0,3.939e-05
COMP_00023,Healthcare,1478.84,963.7,515.14,313.98,230.18,396.55,26.26,1905.35,606.75,1298.6,411.06,147.29,370.56,163.36,48.6,80.72,109.58,103.34,1.31,0.1946,0.0842,0.04,0.004294,0.0524,0.017038,0.054972,0.4821,0.0324,271.97,212.84,4.77,548.11,0,3.52,0.1556,0.1208,0.1773,1.1091,2.5159,2.7908,19.8292,0.7762,11.9388,0.3184,0.4672,11.9566,4.8914,2.2274,49.2,0.012,0.0682,0.1104,0.3099,2.2669,0.4989,0.2174,2.9504,0.2324,0,0.0064,0,0.00011694
COMP_00024,Consumer Staples,375.33,189.92,185.41,73.71,47.0,107.36,44.04,890.99,616.79,274.2,235.31,271.88,115.65,42.52,45.3,89.34,61.48,16.38,0.0,0.2578,0.1135,0.04,0.003,0.0428,0.019044,0.052311,0.2711,0.051,108.01,47.46,10.16,292.87,0,13.71,0.1252,0.0528,0.1714,0.1564,0.4254,0.8655,4.1925,0.4213,2.1258,0.6923,2.2494,1.6737,1.4641,2.8694,21.43,0.0,0.0476,0.1443,0.3641,4.5756,0.5982,0.5606,5.0888,0.0735,0,0.0468,0,6.248e-05
COMP_00025,Technology,412.6,332.11,80.49,21.25,16.32,52.28,8.09,493.16,125.82,367.34,240.67,68.69,99.47,28.08,70.9,39.06,63.92,148.7,0.0,0.0612,0.058,0.04,0.013236,0.1882,0.034547,0.031226,0.8235,0.005,105.71,95.5,9.48,61.04,0,2.89,0.0396,0.0331,0.0444,0.4088,1.4481,3.5037,4.6842,0.8366,8.5026,0.2551,0.3425,2.6267,3.6832,0.1098,582.15,0.0,0.2101,0.0032,1.1064,0.1009,0.0192,0.0966,0.1126,0.6782,0,0.0473,0,1.302e-05
COMP_00026,Real Estate,569.35,447.05,122.3,-14.46,-11.06,19.77,7.26,955.77,248.1,707.67,237.62,107.91,145.12,81.52,82.2,31.19,18.48,16.96,0.0,-0.0554,0.0721,0.04,0.009481,0.1593,0.04997,0.039751,0.4704,0.0277,36.87,16.2,25.01,109.53,0,5.27,-0.0194,-0.0116,-0.0156,0.7554,1.3448,2.202,5.4386,0.5957,14.3331,0.2596,0.3506,-1.9917,1.0855,-0.6521,,0.0,0.1505,-0.1275,1.2571,-0.6339,-0.0759,0.5606,-0.5989,0.2213,0,0.0481,0,2.337e-05
COMP_00027,Industrials,4748.02,2987.05,1760.97,986.18,617.46,1481.8,292.11,6852.58,5173.51,1679.07,3353.52,1951.0,2365.97,868.05,728.36,968.47,19.07,36.75,1.62,0.0667,0.0046,0.04,0.019168,0.1731,0.056138,0.055786,0.5274,0.0413,25.51,23.3,3.23,2516.82,0,20.05,0.13,0.0901,0.3677,0.4449,1.2127,1.7189,4.1011,0.6929,3.0843,0.755,3.0812,3.3761,2.7249,16.8016,1.14,0.085,0.3043,0.0621,1.0063,0.0877,0.0265,0.0866,0.1542,0.2782,0,0.008,0,0.00053695
COMP_00028,Utilities,611.19,313.17,298.02,146.24,108.74,204.61,12.33,715.8,213.58,502.22,457.02,92.11,246.78,167.41,82.12,34.1,56.1,78.45,2.86,-0.094,0.0522,0.04,0.023011,0.2404,0.049749,0.059991,0.7302,0.0114,127.35,87.92,6.93,37.27,0,0.82,0.1779,0.1519,0.2165,1.8175,2.6792,4.9617,3.8136,0.8539,9.1839,0.2984,0.4253,11.8605,12.7427,1.3861,40.47,0.051,0.3653,-0.1462,0.8293,-0.3668,-0.1616,0.3096,-0.5574,0.5332,0,0.022,0,7.95e-06
COMP_00029,Technology,6093.27,3026.5,3066.77,1590.64,1037.99,1989.29,144.21,12645.7,5669.93,6975.77,7153.38,2197.15,3524.03,2746.99,1712.95,774.68,22.59,58.9,0.51,0.1293,0.073,0.04,0.014264,0.1596,0.049975,0.046925,0.6892,0.005,38.72,11.82,6.57,3117.4,0,114.51,0.1704,0.0821,0.1488,1.2503,1.6039,3.2558,1.7668,0.4818,3.9068,0.4484,0.8128,11.03,4.363,17.6229,1.28,0.0226,0.2264,0.0563,1.065,0.3944,0.0838,0.6947,0.5595,0.475,0,0.0367,0,0.00066508
COMP_00030,Telecom,524.3,192.27,332.03,218.29,172.63,274.02,35.58,850.27,742.05,108.22,195.57,190.52,164.8,49.05,38.31,42.63,13.35,104.62,0.53,-0.0269,0.0624,0.04,0.006235,0.0846,0.015526,0.013427,0.8526,0.0428,21.62,15.08,1.93,218.96,0,3.41,0.3293,0.203,1.5952,0.2575,0.865,1.0265,5.0188,0.6166,4.5102,0.8727,6.8569,6.1352,4.7676,1.6501,8.09,0.0397,0.099,-0.0893,1.1563,-0.6758,-0.0579,0.3025,-0.7908,0.7269,0,0.0156,0,4.671e-05
COMP_00031,Telecom,1619.73,1227.61,392.12,-34.99,-21.44,147.75,93.39,2942.91,2620.4,322.51,1207.33,1300.96,608.15,142.09,120.04,627.54,35.93,5.44,0.77,-0.1523,0.0547,0.04,0.016989,0.3063,0.069794,0.054592,0.5436,0.0271,58.81,38.87,24.25,990.55,0,41.05,-0.0132,-0.0073,-0.0665,0.1092,0.4675,0.928,10.2267,0.5504,1.9562,0.8904,8.125,-0.3747,0.7678,-3.9412,,0.0214,0.2697,-0.207,1.2785,-0.713,-0.1504,0.3391,-0.6278,0.2955,0,0.0414,1,0.00021133
COMP_00032,Real Estate,641.95,369.24,272.71,89.88,63.49,140.16,13.47,790.18,280.44,509.74,285.38,115.88,183.63,65.2,53.6,31.3,28.37,13.45,2.95,0.161,0.0377,0.04,0.025067,0.4215,0.058001,0.033894,0.8933,0.0674,57.43,41.71,217.58,99.63,0,1.56,0.0989,0.0803,0.1246,0.5627,1.5847,2.4627,6.8888,0.8124,11.7968,0.3549,0.5502,6.6726,5.9813,4.7204,6.01,0.104,0.3979,0.1233,1.7112,0.3041,0.0707,0.2737,0.2871,0.798,0,0.0157,0,2.126e-05
COMP_00033,Financials,2710.53,1389.33,1321.2,792.66,523.29,926.41,276.28,6747.34,4146.82,2600.52,4357.67,1491.73,4030.69,1828.41,1497.86,574.61,66.35,110.18,0.65,-0.0428,0.0233,0.04,0.016847,0.2906,0.022293,0.027532,0.9709,0.0649,131.76,84.33,1.14,2579.42,0,17.28,0.1931,0.0776,0.2012,1.2257,2.702,2.9212,0.9275,0.4017,2.4179,0.6146,1.5946,2.869,1.7341,4.7494,13.97,0.0098,0.2674,-0.0661,0.8097,-0.3096,-0.1023,0.36,-0.2849,0.9426,0,0.0067,0,0.0005503
COMP_00034,Energy,286.6,167.82,118.78,87.44,72.37,119.66,7.74,427.71,262.38,165.33,270.4,111.21,199.28,68.88,65.47,28.53,46.02,47.28,0.0,-0.1197,0.1307,0.04,0.014439,0.1698,0.021327,0.024506,0.4751,0.0324,81.36,55.85,9.23,31.72,0,0.61,0.2525,0.1692,0.4377,0.6194,1.7919,2.4314,2.5633,0.6701,5.8822,0.6135,1.587,11.2972,10.9659,1.5307,30.06,0.0,0.2292,-0.2504,0.8703,-0.6968,-0.1835,0.3135,-0.9405,0.2257,0,0.0192,0,6.77e-06
COMP_00035,Consumer Discretionary,2674.27,2030.76,643.51,243.29,176.83,369.12,61.95,4155.76,2260.93,1894.83,887.49,670.34,597.94,466.87,119.84,296.15,155.64,80.41,0.0,0.129,0.0945,0.04,0.007402,0.0863,0.072564,0.050185,0.3277,0.005,294.83,201.93,1.63,649.79,0,15.18,0.0661,0.0426,0.0933,0.6965,0.892,1.3239,16.9456,0.6435,6.8572,0.544,1.1932,3.9272,2.9081,2.1991,70.77,0.0,0.1175,0.0345,1.4459,0.7574,0.0616,0.3151,1.0313,0.1074,0,0.0234,0,0.00013863
COMP_00036,Utilities,1257.2,518.35,738.85,437.65,273.42,480.84,52.41,1703.18,1449.5,253.68,1029.34,538.03,615.69,404.19,343.95,157.33,15.0,86.46,0.43,-0.1255,0.0844,0.04,0.024194,0.3794,0.04622,0.054915,0.3308,0.0295,34.49,28.93,27.18,231.56,12,3.79,0.2175,0.1605,1.0778,0.7512,1.1443,1.9132,1.5071,0.7381,3.2947,0.8511,5.7139,8.3505,6.3632,3.1624,4.74,0.0287,0.3841,-0.2099,0.8417,-0.4309,-0.1966,0.1612,-0.4362,0.1094,0,0.0164,1,4.94e-05
COMP_00037,Financials,508.78,396.25,112.53,4.3,2.71,34.56,51.0,893.26,661.12,232.14,220.38,296.83,151.23,117.66,36.71,129.94,34.29,21.1,1.14,-0.1053,0.0541,0.04,0.017091,0.2987,0.003957,0.044287,0.5018,0.0475,75.82,55.32,1.07,112.44,0,3.25,0.0053,0.003,0.0117,0.3964,0.5095,0.7424,10.7941,0.5696,3.0495,0.7401,2.8479,0.0843,0.5552,0.1284,267.06,0.0332,0.2713,-0.1594,0.0893,-0.5356,-1.6271,0.2704,-0.4864,0.2518,0,0.0289,1,2.399e-05
COMP_00038,Consumer Staples,898.33,717.55,180.78,95.93,80.42,181.65,79.21,1634.84,1221.13,413.71,506.35,354.71,407.04,159.81,84.58,205.25,52.07,15.44,0.29,-0.0789,0.0462,0.04,0.013314,0.2475,0.01519,0.012979,0.5225,0.0212,92.82,44.46,5.94,177.38,0,4.62,0.0895,0.0492,0.1944,0.4505,1.1475,1.4275,8.4837,0.5495,3.496,0.7469,2.9517,1.2111,1.8737,5.2085,10.0,0.0056,0.2114,-0.1251,1.1704,-0.5624,-0.1016,0.521,-0.4804,0.273,0,0.026,1,3.784e-05
COMP_00039,Financials,6909.32,5688.82,1220.5,786.53,608.83,1567.94,122.22,13578.66,5773.92,7804.74,4436.2,2884.64,3781.37,1316.06,1042.42,1639.54,50.53,122.96,2.07,0.2577,0.0699,0.04,0.011255,0.1347,0.103611,0.059342,0.9505,0.0564,121.16,40.19,12.34,1562.73,0,77.98,0.0881,0.0448,0.078,0.4562,1.3109,1.5379,5.4573,0.5088,3.4698,0.4252,0.7398,6.4354,5.6301,4.9514,10.21,0.041,0.1787,0.1878,1.746,1.2182,0.1247,0.6683,1.6162,0.9035,0,0.0499,0,0.0003334
COMP_00040,Energy,1293.9,710.02,583.88,298.26,220.46,411.29,88.87,3789.38,2017.12,1772.26,1111.85,823.8,842.13,349.3,245.38,230.82,40.66,28.06,1.29,0.0319,0.0291,0.04,0.015739,0.2348,0.028773,0.037888,0.868,0.0229,68.74,38.66,26.23,1217.14,303,162.97,0.1704,0.0582,0.1244,0.424,1.0223,1.3497,2.8936,0.3415,3.0761,0.5323,1.1382,3.3561,1.9531,7.8567,5.18,0.0317,0.2498,0.0028,0.7594,-0.0324,-0.0107,0.4376,-0.0345,0.7534,1,0.1339,1,0.00025967
COMP_00041,Consumer Staples,471.88,216.39,255.49,202.28,163.23,256.86,26.45,1316.7,746.34,570.36,759.24,406.52,633.72,310.42,104.12,97.43,8.22,71.5,0.32,0.149,0.0752,0.04,0.003,0.0472,-0.024124,0.051373,0.9601,0.0406,12.03,8.72,5.94,510.65,0,22.69,0.3459,0.124,0.2862,0.7636,1.5589,1.8677,2.0783,0.3584,2.221,0.5668,1.3085,7.6476,3.3137,2.2829,3.6,0.0389,0.0476,0.0738,-0.4696,2.2899,-0.2321,0.2751,2.3093,0.9218,0,0.0444,0,0.00010894
COMP_00042,Utilities,258.36,138.69,119.67,74.48,49.72,84.38,14.32,553.06,245.72,307.34,174.2,132.42,78.15,49.39,33.12,28.74,6.89,51.4,0.35,0.2219,0.0609,0.04,0.003,0.0539,0.01125,0.046057,0.6495,0.0694,8.52,3.8,3.62,177.21,0,1.54,0.1924,0.0899,0.1618,0.373,0.5902,1.3155,4.1875,0.4671,4.8257,0.4443,0.7995,5.2011,2.6335,0.9673,7.12,0.0508,0.0476,0.161,0.2443,3.8214,0.7446,0.554,3.3748,0.4219,0,0.0087,0,3.781e-05
COMP_00043,Energy,2011.2,1038.7,972.5,496.48,399.11,567.81,26.4,1781.09,555.04,1226.05,994.51,220.8,405.67,293.18,148.93,117.33,14.01,18.66,0.58,0.039,0.0911,0.04,0.009224,0.1487,0.014056,0.026764,0.2286,0.0177,18.73,17.46,4.49,245.04,0,4.71,0.1984,0.2241,0.3255,1.3278,1.8373,4.5041,6.9744,1.1292,8.8528,0.3116,0.4527,18.8061,11.1545,21.3885,0.66,0.0414,0.1464,-0.0521,0.5252,-0.0068,-0.0019,0.0678,-0.0067,0.0523,0,0.0192,0,5.228e-05
COMP_00044,Healthcare,1387.16,607.68,779.48,514.99,393.11,632.03,77.03,2978.19,989.16,1989.03,1927.45,275.17,1549.53,698.94,522.98,82.47,49.26,35.12,0.08,0.0865,0.0232,0.04,0.021081,0.2669,0.032337,0.055894,0.4629,0.0444,99.27,93.51,3.25,409.61,83,9.77,0.2834,0.132,0.1976,2.54,5.6312,7.0046,1.162,0.4658,7.3685,0.3321,0.4973,6.6856,5.3566,11.1933,4.4,0.0016,0.3347,0.0633,0.5785,0.1389,0.0804,0.058,0.1742,0.2143,0,0.0239,0,8.739e-05
